City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,aghajari,30.7006,49.8315,10.12,43,0,1.03,IR,1730168699
170,uliastay,47.7417,96.8444,-0.27,60,100,2.11,MN,1730168699
171,udomlya,57.8794,34.9925,5.15,91,98,3.78,RU,1730168699
172,mejit,10.2753,170.8646,28.99,75,98,5.2,MH,1730168699
173,aykhal,66.0,111.5,-22.74,100,100,2.0,RU,1730168699
174,shimoda,34.6667,138.95,16.9,88,100,8.17,JP,1730168699
175,cockburn town,21.4612,-71.1419,28.14,76,100,9.97,TC,1730168699
176,san pedro pochutla,15.7333,-96.4667,24.84,95,97,2.24,MX,1730168445
177,multan,30.1956,71.4753,20.94,88,0,0.0,PK,1730168699
178,qusmuryn,52.4503,64.6311,0.15,91,73,2.69,KZ,1730168699
179,mafinga,-7.25,35.0667,23.03,62,7,1.65,TZ,1730168700
180,babol,36.5513,52.679,10.96,72,0,1.18,IR,1730168700
181,tolanaro,-25.0319,46.9987,23.04,88,40,5.14,MG,1730168700
182,iskateley,67.6803,53.1512,0.71,84,100,7.35,RU,1730168700
183,ulan bator,47.9077,106.8832,0.07,80,75,2.0,MN,1730168700
184,praia da vitoria,38.7333,-27.0667,17.14,94,75,3.82,PT,1730168700
185,lazaro cardenas,17.9583,-102.2,26.97,78,0,1.08,MX,1730168700
186,lexington park,38.2668,-76.4538,13.69,64,40,2.06,US,1730168700
187,jagtial,18.8,78.9333,24.84,78,71,0.66,IN,1730168700
188,boma,11.7117,4.2472,24.1,32,14,2.75,NG,1730168700
189,zakamensk,50.3741,103.2863,2.8,76,93,0.9,RU,1730168700
190,siwa oasis,29.2041,25.5195,18.67,67,36,2.66,EG,1730168701
191,port saint john's,-31.6229,29.5448,18.66,75,72,2.04,ZA,1730168701
192,pechory,57.8164,27.6119,6.76,93,43,4.22,RU,1730168701
193,ouro preto do oeste,-10.7481,-62.2158,24.99,73,23,1.34,BR,1730168701
194,mahina,-17.5065,-149.489,27.87,65,20,3.6,PF,1730168633
195,remire-montjoly,4.9167,-52.2667,24.02,94,0,0.0,GF,1730168701
196,college,64.8569,-147.8028,-5.52,86,100,0.0,US,1730168701
197,hotan,37.0997,79.9269,10.7,39,84,0.96,CN,1730168701
198,aitape,-3.1374,142.3475,25.25,92,100,2.09,PG,1730168701
199,mabama,-5.1333,32.5333,21.39,73,77,0.9,TZ,1730168701
200,ciudad de huajuapan de leon,17.8,-97.7667,17.67,77,92,3.33,MX,1730168701
201,valdivia,-39.8142,-73.2459,13.05,74,100,1.28,CL,1730168701
202,hancheng,32.5186,112.3522,20.36,46,0,3.01,CN,1730168702
203,codrington,-38.2667,141.9667,16.21,66,86,6.0,AU,1730168702
204,dongola,19.1667,30.4833,20.96,19,0,4.58,SD,1730168702
205,novyy urgal,51.0736,132.5642,0.7,62,37,0.96,RU,1730168702
206,al bawiti,28.3492,28.8659,16.31,84,47,3.82,EG,1730168702
207,martapura,-3.4167,114.85,32.05,62,40,2.06,ID,1730168702
208,mount gambier,-37.8333,140.7667,18.4,52,11,3.66,AU,1730168702
209,khovd,48.0056,91.6419,4.02,52,76,4.24,MN,1730168702
210,itamaraca,-7.7478,-34.8256,25.41,78,95,4.78,BR,1730168702
211,jabat,7.75,168.9751,28.84,73,31,4.06,MH,1730168702
212,puerto tirol,-27.3722,-59.0821,22.81,60,0,2.57,AR,1730168703
213,ciudad madero,22.2667,-97.8333,26.7,78,20,2.06,MX,1730168511
214,taoudenni,22.6783,-3.9836,24.32,29,57,4.02,ML,1730168703
215,nemuro,43.3236,145.575,8.48,57,2,3.35,JP,1730168703
216,tuntum,-5.2581,-44.6489,31.19,36,81,0.98,BR,1730168703
217,nushki,29.5542,66.0215,14.97,47,0,0.49,PK,1730168703
218,shakawe,-18.3667,21.85,18.16,13,53,3.04,BW,1730168703
219,kodinsk,58.6881,99.1844,0.09,96,100,1.36,RU,1730168703
220,sao felix do xingu,-6.6447,-51.995,29.71,35,100,0.8,BR,1730168703
221,livorno,43.2333,10.5833,19.26,96,10,1.74,IT,1730168703
222,flying fish cove,-10.4217,105.6791,26.82,83,100,4.63,CX,1730168704
223,tiksi,71.6872,128.8694,-21.67,99,97,1.22,RU,1730168704
224,hirara,24.8,125.2833,26.15,94,75,11.83,JP,1730168704
225,mangrol,21.1167,70.1167,27.49,73,65,3.63,IN,1730168704
226,levuka,50.1834,-105.4011,2.84,47,25,2.16,CA,1730168704
227,hawaiian paradise park,19.5933,-154.9731,27.07,84,75,2.06,US,1730168704
228,zacapoaxtla,19.8833,-97.5833,14.59,100,100,0.88,MX,1730168704
229,stanley,54.868,-1.6985,12.01,95,40,2.06,GB,1730168704
230,paita,-5.0892,-81.1144,18.53,83,99,5.89,PE,1730168704
231,palikir - national government center,6.9248,158.1611,30.47,79,75,4.12,FM,1730168704
232,hadibu,12.65,54.0333,25.23,78,6,1.51,YE,1730168704
233,amga,60.8953,131.9608,-13.85,86,55,0.98,RU,1730168705
234,afaahiti,-17.75,-149.2833,23.12,75,94,7.92,PF,1730168705
235,liwa,24.5361,56.5656,26.01,57,0,3.6,OM,1730168705
236,sortavala,61.7053,30.6918,4.03,80,19,4.35,RU,1730168705
237,kalamata,37.0389,22.1142,17.28,37,0,1.54,GR,1730168705
238,yoshino-cho,34.3961,135.8577,17.04,92,100,1.58,JP,1730168705
239,porto novo,6.4965,2.6036,25.39,88,88,1.28,BJ,1730168696
240,merizo village,13.2658,144.6691,31.66,83,100,3.94,GU,1730168705
241,la'ie,21.6477,-157.9253,26.66,84,98,3.58,US,1730168705
242,cukai,4.25,103.4167,28.66,73,100,1.98,MY,1730168705
243,georgetown,5.4112,100.3354,26.96,89,20,2.24,MY,1730168705
244,teplyk,48.6657,29.745,8.45,80,73,4.55,UA,1730168705
245,imam qasim,32.298,44.6828,17.22,24,0,3.64,IQ,1730168706
246,kuta,-8.7233,115.1723,30.97,70,20,3.6,ID,1730168706
247,hamilton,39.1834,-84.5333,17.73,74,20,4.47,US,1730168706
248,el granada,37.5027,-122.4694,14.1,81,20,8.75,US,1730168706
249,kapa'a,22.0752,-159.319,27.18,83,20,7.2,US,1730168706
250,zaozersk,69.4005,32.4476,1.96,78,66,12.49,RU,1730168706
251,las animas,-39.8087,-73.2182,13.08,74,100,1.14,CL,1730168706
252,san isidro de curuguaty,-24.5167,-55.7,23.97,69,4,0.85,PY,1730168706
253,labuan,5.2767,115.2417,31.2,74,20,1.54,MY,1730168706
254,saint-joseph,-21.3667,55.6167,21.21,73,8,3.11,RE,1730168706
255,keflavik,64.0049,-22.5624,5.24,100,100,2.06,IS,1730168706
256,newman,37.3138,-121.0208,15.59,58,12,2.24,US,1730168707
257,acarau,-2.8856,-40.12,26.15,80,1,8.25,BR,1730168707
258,horta,38.5333,-28.6333,18.34,67,37,1.79,PT,1730168707
259,christchurch,-43.5333,172.6333,14.95,62,100,6.71,NZ,1730168599
260,aasiaat,68.7098,-52.8699,-18.3,88,22,2.91,GL,1730168707
261,waingapu,-9.6567,120.2641,32.28,56,2,7.27,ID,1730168707
262,likasi,-10.9814,26.7333,18.02,90,91,1.42,CD,1730168707
263,mil'kovo,55.6078,37.7956,7.97,51,99,3.17,RU,1730168707
264,sligo,54.2697,-8.4694,11.56,95,100,1.93,IE,1730168707
265,okhotsk,59.3833,143.3,-8.62,64,92,7.73,RU,1730168635
266,mallawi,27.7314,30.8417,19.28,59,2,6.81,EG,1730168707
267,greenville,35.6127,-77.3663,11.18,88,0,0.0,US,1730168708
268,alotau,-10.3069,150.4462,26.61,88,100,1.95,PG,1730168708
269,akureyri,65.6835,-18.0878,1.96,100,75,1.03,IS,1730168708
270,san antonio de pale,-1.4014,5.6325,25.37,84,100,6.44,GQ,1730168708
271,la passe,45.5549,-0.8967,13.13,93,10,3.21,FR,1730168708
272,hithadhoo,-0.6,73.0833,27.65,76,100,4.86,MV,1730168708
273,arenapolis,-14.4503,-56.8461,22.22,97,100,2.04,BR,1730168708
274,prince rupert,54.3161,-130.3201,7.83,81,100,2.06,CA,1730168708
275,armacao de buzios,-22.7469,-41.8817,21.42,88,100,5.47,BR,1730168708
276,mount isa,-20.7333,139.5,36.87,22,6,6.69,AU,1730168708
277,n'zeto,-7.2312,12.8666,24.57,85,96,3.4,AO,1730168708
278,susuman,62.7833,148.1667,-14.42,88,100,1.55,RU,1730168709
279,qui nhon,13.7667,109.2333,24.36,85,91,2.38,VN,1730168709
280,kirgiz-miyaki,53.6324,54.7979,1.32,68,100,0.44,RU,1730168709
281,schwaz,47.3391,11.7336,10.28,92,3,1.95,AT,1730168709
282,sao vicente,-23.9631,-46.3919,20.55,26,100,0.55,BR,1730168709
283,sitka,57.0531,-135.33,7.94,76,75,3.09,US,1730168709
284,gamba,-2.65,10.0,24.59,91,99,3.22,GA,1730168709
285,verkhnevilyuysk,63.4453,120.3167,-14.07,90,99,1.72,RU,1730168709
286,inyati,-19.6756,28.8469,19.7,67,100,2.95,ZW,1730168709
287,nenjiang,49.1833,125.2167,6.11,66,100,3.82,CN,1730168709
288,kuala belait,4.5833,114.1833,30.03,69,76,1.06,BN,1730168709
289,musoma,-1.5,33.8,20.73,77,96,2.72,TZ,1730168710
290,dickinson,29.4608,-95.0513,26.1,84,40,5.66,US,1730168710
291,huarmey,-10.0681,-78.1522,18.25,85,100,4.06,PE,1730168710
292,turpan,42.9333,89.1667,16.83,38,99,1.94,CN,1730168710
293,wanganui,-39.9333,175.05,17.96,51,82,5.8,NZ,1730168710
294,rongelap,11.1635,166.8941,28.74,75,81,4.12,MH,1730168343
295,talara,-4.5772,-81.2719,18.42,82,0,7.72,PE,1730168710
296,arkhangel'sk,64.5401,40.5433,2.06,100,75,3.0,RU,1730168710
297,grand falls-windsor,48.9332,-55.6649,-1.39,88,29,2.39,CA,1730168477
298,sao jose da coroa grande,-8.8978,-35.1478,25.04,73,39,4.92,BR,1730168710
299,haiku-pauwela,20.9219,-156.3051,26.23,76,20,11.62,US,1730168711
300,lamu,-2.2717,40.902,24.98,80,48,3.93,KE,1730168711
301,nyala,12.05,24.8833,23.43,22,7,4.57,SD,1730168711
302,grants,35.1473,-107.8514,15.13,23,0,0.0,US,1730168711
303,labytnangi,66.6572,66.4183,-6.87,92,66,2.68,RU,1730168711
304,paraiso,9.8383,-83.8656,19.68,99,100,2.31,CR,1730168711
305,zvezdnyy,57.7325,56.3147,-0.67,91,99,2.08,RU,1730168711
306,micheweni,-4.9667,39.8333,25.51,81,2,2.55,TZ,1730168711
307,muroto-misakicho,33.2833,134.15,19.91,79,100,6.19,JP,1730168711
308,vkhodnoy,54.9518,73.1711,-0.06,100,75,5.0,RU,1730168712
309,pass christian,30.3158,-89.2475,23.03,100,75,2.57,US,1730168712
310,fale old settlement,-9.3852,-171.2468,28.31,71,79,2.33,TK,1730168712
311,kavieng,-2.5744,150.7967,29.65,71,6,4.13,PG,1730168712
312,rio grande,-32.035,-52.0986,18.08,91,0,4.24,BR,1730168712
313,zapolyarnyy,69.4154,30.8136,1.43,79,94,10.57,RU,1730168712
314,dhuusamarreeb,5.535,46.3861,24.39,75,8,2.92,SO,1730168712
315,clinton,42.587,-82.9199,11.61,73,40,3.13,US,1730168712
316,tashtyp,52.7939,89.8983,2.73,75,8,1.74,RU,1730168712
317,colonia,50.9333,6.95,12.81,96,20,0.51,DE,1730168712
318,villa gesell,-37.2639,-56.973,18.4,70,2,5.79,AR,1730168712
319,kuraymah,18.55,31.85,23.84,20,0,4.96,SD,1730168713
320,lubin,51.4009,16.2015,12.98,85,100,4.06,PL,1730168713
321,boueni,-12.9025,45.0761,26.99,78,65,5.67,YT,1730168713
322,peniche,39.3558,-9.3811,16.23,87,0,7.72,PT,1730168713
323,nyrob,60.733,56.7202,0.28,71,100,2.04,RU,1730168713
324,punta arenas,-53.15,-70.9167,7.06,81,0,7.2,CL,1730168713
325,meulaboh,4.1363,96.1285,26.9,80,43,0.97,ID,1730168713
326,nagqu,31.5,92.0,2.71,21,0,1.61,CN,1730168713
327,barcelos,41.5388,-8.6151,13.39,77,0,2.94,PT,1730168713
328,dzhalagash,45.0833,64.6667,3.38,85,23,2.21,KZ,1730168713
329,ponta delgada,37.7333,-25.6667,18.44,88,40,3.09,PT,1730168714
330,vila franca do campo,37.7167,-25.4333,18.27,99,83,2.16,PT,1730168714
331,roma,43.2128,-75.4557,5.77,65,0,3.6,US,1730168714
332,san andres,12.5847,-81.7006,28.01,83,20,6.17,CO,1730168126
333,murzuq,25.9155,13.9184,18.67,30,84,3.61,LY,1730168714
334,fort bragg,35.139,-79.006,12.73,88,0,0.0,US,1730168714
335,suomussalmi,64.8869,28.9078,0.19,82,12,4.34,FI,1730168714
336,miandrivazo,-19.5167,45.4667,27.94,60,76,0.38,MG,1730168714
337,maryborough,-25.5333,152.7,29.93,33,0,4.1,AU,1730168714
338,tikhvin,59.6451,33.5294,5.46,93,99,2.79,RU,1730168715
339,silver city,32.7701,-108.2803,19.24,28,0,3.6,US,1730168715
340,jining,35.405,116.5814,17.3,46,0,2.89,CN,1730168715
341,severoural'sk,60.1533,59.952,-2.86,88,60,1.54,RU,1730168715
342,shatsk,54.0258,41.7119,6.8,86,100,3.96,RU,1730168715
343,oum hadjer,13.2954,19.6966,25.2,16,41,4.16,TD,1730168715
344,damghan,36.1683,54.348,7.59,57,0,0.26,IR,1730168715
345,piui,-20.4653,-45.9581,19.85,96,100,1.76,BR,1730168715
346,dryden,49.7833,-92.7503,10.16,76,20,3.6,CA,1730168715
347,yulin,22.6333,110.15,18.54,88,100,2.16,CN,1730168715
348,kruisfontein,-34.0033,24.7314,15.5,96,100,8.67,ZA,1730168715
349,rosso,16.4986,-15.8153,25.26,50,24,5.23,SN,1730168716
350,kerikeri,-35.2268,173.9474,18.78,53,98,6.08,NZ,1730168716
351,ulsteinvik,62.3432,5.8487,5.42,87,93,3.64,NO,1730168716
352,boende,-0.2167,20.8667,21.6,99,93,0.99,CD,1730168716
353,dudinka,69.4058,86.1778,-6.89,96,97,3.44,RU,1730168716
354,ixtapa,20.7,-105.2,28.57,79,20,2.06,MX,1730168716
355,sinabang,2.4803,96.3801,28.43,73,96,0.46,ID,1730168716
356,orchard homes,46.8633,-114.0484,6.08,67,75,3.09,US,1730168716
357,borova,50.1763,30.1043,4.89,94,92,2.79,UA,1730168716
358,semey,50.4111,80.2275,2.12,69,40,7.0,KZ,1730168716
359,labuan bajo,-8.4964,119.8877,30.14,67,3,3.37,ID,1730168716
360,lively,46.4334,-81.1498,5.57,86,43,3.53,CA,1730168717
361,yeppoon,-23.1333,150.7333,25.31,58,0,4.73,AU,1730168717
362,gotsucho,35.0,132.2167,18.61,70,100,3.02,JP,1730168717
